DATETIME,CPUCoreTemp_1,CPUCoreTemp_2,CPUCoreTemp_3,CPUCoreTemp_4,CPUCoreTemp_Package,CPUPackagePower,CPUCorePower,CPUCoreClock_1,CPUCoreClock_2,CPUCoreClock_3,CPUCoreClock_4
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
2020.12.01 00:16:36 579,42,43,44,42,44,3.24,1.475,796.801,796.801,796.801,796.801
2020.12.01 00:16:37 586,42,43,44,42,44,3.038,1.288,796.801,796.801,796.801,796.801
2020.12.01 00:16:38 593,42,43,44,42,44,3.126,1.353,796.801,796.801,796.801,796.801
2020.12.01 00:16:39 602,42,43,44,44,44,3.611,1.848,796.801,796.801,796.801,796.801
2020.12.01 00:16:40 611,43,44,49,42,49,2.948,1.182,2788.805,2788.805,2788.805,2788.805
2020.12.01 00:16:41 618,44,45,45,43,45,3.309,1.535,2689.204,2390.404,2390.404,2390.404
2020.12.01 00:16:42 626,42,42,43,42,44,3.092,1.324,1693.203,1693.203,1394.402,1394.402
2020.12.01 00:16:43 634,42,44,44,42,45,3.307,1.535,796.801,796.801,796.801,796.801
2020.12.01 00:16:44 642,42,43,44,42,44,2.977,1.221,796.801,796.801,796.801,796.801
2020.12.01 00:16:45 649,43,43,44,42,44,3.127,1.349,2689.205,2689.205,2689.205,2689.205
2020.12.01 00:16:46 658,43,44,46,44,46,3.066,1.31,2589.604,2589.604,2490.004,2589.604
2020.12.01 00:16:47 667,42,43,43,42,44,2.828,1.064,1593.602,1593.602,1593.602,1593.602
2020.12.01 00:16:48 674,45,43,46,42,46,3.271,1.513,2390.404,2589.604,2689.205,2689.205
2020.12.01 00:16:49 683,44,43,44,43,44,3.51,1.744,1593.602,1593.602,1593.602,1593.602
2020.12.01 00:16:50 693,48,47,44,42,48,2.79,1.038,2689.204,2689.204,2689.204,2689.204
2020.12.01 00:16:51 700,51,44,46,43,51,3.193,1.429,2689.205,2689.205,2689.205,2689.205
2020.12.01 00:16:52 727,49,45,44,43,49,3.279,1.527,2589.604,2589.604,2589.604,2589.604
2020.12.01 00:16:53 737,47,45,45,42,47,3.005,1.244,2490.004,2490.004,2490.004,2490.004
2020.12.01 00:16:54 750,43,43,44,42,44,3.167,1.398,1593.602,1593.602,1992.003,1992.003
2020.12.01 00:16:55 775,48,45,46,43,47,3.273,1.499,2490.004,2490.004,2490.004,2490.004
2020.12.01 00:16:56 786,50,44,44,42,50,2.96,1.192,2788.805,2788.805,2689.204,2689.204
2020.12.01 00:16:57 819,44,46,46,43,46,3.134,1.371,2589.604,2589.604,2589.604,2589.604
2020.12.01 00:16:58 832,42,43,43,43,44,3.119,1.357,796.801,1195.202,2490.004,2490.004
2020.12.01 00:16:59 841,42,42,43,42,44,2.792,1.03,2589.605,2589.605,2490.004,2490.004
2020.12.01 00:17:00 849,42,43,44,42,44,3.543,1.759,2191.204,2191.204,2191.204,1892.403
2020.12.01 00:17:01 857,42,43,46,43,46,3.178,1.396,2490.004,2689.204,2689.204,2689.204
2020.12.01 00:17:02 866,50,48,45,43,50,3.312,1.521,2490.004,2490.004,2490.004,2490.004
2020.12.01 00:17:03 875,42,43,46,42,46,2.976,1.206,2490.004,2490.004,2589.604,2589.604
2020.12.01 00:17:04 884,42,42,44,43,44,3.219,1.428,1394.402,1095.602,1095.602,1095.602
2020.12.01 00:17:05 892,45,44,45,43,45,3.031,1.261,2490.004,2490.004,2490.004,2490.004
2020.12.01 00:17:06 900,42,42,43,42,44,3.027,1.262,796.801,796.801,796.801,796.801
2020.12.01 00:17:07 908,42,42,43,42,44,3.127,1.354,796.801,796.801,796.801,796.801
2020.12.01 00:17:08 916,42,43,44,42,44,3.469,1.691,796.801,796.801,796.801,796.801
2020.12.01 00:17:09 923,42,42,43,42,44,2.789,1.033,896.401,796.801,796.801,796.801
2020.12.01 00:17:10 930,42,43,43,42,44,3.125,1.358,2689.205,2689.205,2689.205,2689.205
2020.12.01 00:17:11 938,42,43,43,42,44,3.087,1.319,796.801,796.801,796.801,796.801
2020.12.01 00:17:12 949,42,43,43,42,44,2.829,1.065,796.801,796.801,796.801,796.801
2020.12.01 00:17:13 957,42,43,44,42,44,3.199,1.442,2788.805,2788.805,2490.004,2689.205
2020.12.01 00:17:14 965,42,43,43,42,44,3.354,1.592,2589.604,2589.604,2589.604,2589.604
2020.12.01 00:17:15 972,42,43,43,42,44,2.929,1.186,796.801,796.801,796.801,796.801
2020.12.01 00:17:16 980,42,43,43,42,44,2.981,1.222,796.801,796.801,796.801,796.801
2020.12.01 00:17:17 987,42,43,43,42,44,3.415,1.647,796.801,796.801,796.801,796.801
2020.12.01 00:17:18 994,42,44,44,42,44,3.087,1.323,2788.805,2788.805,2788.805,2788.805
2020.12.01 00:17:20 001,44,44,44,42,44,3.258,1.502,1892.403,1892.403,1892.403,1892.403
2020.12.01 00:17:21 010,43,43,44,42,44,3.143,1.375,2689.205,2689.205,2689.205,2689.205
2020.12.01 00:17:22 018,42,43,43,42,44,3.111,1.354,796.801,796.801,796.801,796.801
2020.12.01 00:17:23 027,42,42,43,42,44,2.735,0.976,796.801,796.801,796.801,796.801
2020.12.01 00:17:24 034,43,43,44,42,44,3.193,1.429,2689.205,2390.404,2390.404,2091.604
2020.12.01 00:17:25 042,42,43,44,42,44,3.033,1.273,796.801,796.801,796.801,796.801
2020.12.01 00:17:26 051,42,43,44,42,44,3.135,1.378,796.801,796.801,796.801,796.801
2020.12.01 00:17:27 062,42,43,44,43,44,3.377,1.609,796.801,796.801,796.801,796.801
