DATETIME,CPUCoreTemp_1,CPUCoreTemp_2,CPUCoreTemp_3,CPUCoreTemp_4,CPUCoreTemp_Package,CPUPackagePower,CPUCorePower,CPUCoreClock_1,CPUCoreClock_2,CPUCoreClock_3,CPUCoreClock_4
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
2020.11.30 09:40:42 597,31,32,32,33,33,5.101,3.226,2589.604,2589.604,2589.604,2589.604
2020.11.30 09:40:43 607,29,31,30,29,31,4.112,2.257,796.801,796.801,796.801,796.801
2020.11.30 09:40:44 618,29,31,31,31,32,3.841,1.996,1992.004,1992.004,2390.404,2390.404
2020.11.30 09:40:45 626,29,30,30,29,31,3.847,2.024,796.801,796.801,796.801,796.801
2020.11.30 09:40:46 634,29,30,30,30,31,4.165,2.336,796.801,796.801,796.801,796.801
2020.11.30 09:40:47 644,30,33,32,31,34,4.371,2.529,2589.604,2689.204,2689.204,2689.204
2020.11.30 09:40:48 652,32,33,34,38,38,4.511,2.679,2689.205,2490.005,2689.205,2689.205
2020.11.30 09:40:49 673,31,32,32,32,32,4.432,2.621,2589.604,2589.604,2290.804,2290.804
2020.11.30 09:40:50 680,32,35,33,32,35,5.278,3.445,2589.604,2490.004,2490.004,2490.004
2020.11.30 09:40:51 689,29,31,31,30,32,3.432,1.617,2490.004,2689.205,2689.205,2689.205
2020.11.30 09:40:52 699,29,30,31,29,31,3.916,2.117,796.801,796.801,796.801,796.801
2020.11.30 09:40:53 708,29,31,30,29,31,3.977,2.165,796.801,796.801,1195.202,1195.202
2020.11.30 09:40:54 718,29,31,32,30,32,4.024,2.212,2589.605,2589.605,2589.605,2589.605
2020.11.30 09:40:55 726,29,31,31,29,31,3.707,1.895,2689.204,2689.204,2689.204,2689.204
2020.11.30 09:40:56 734,34,31,32,29,33,5.265,3.401,2689.204,2689.204,2689.204,2589.604
2020.11.30 09:40:57 745,30,32,33,34,34,5.498,3.623,2689.205,2589.605,2490.005,2490.005
2020.11.30 09:40:58 754,35,35,37,43,43,10.563,8.656,2589.604,2589.604,2589.604,2589.604
2020.11.30 09:40:59 763,30,31,32,31,32,4.254,2.41,2091.603,2091.603,2091.603,2091.603
2020.11.30 09:41:00 772,39,36,38,41,40,10.415,8.517,2589.604,2689.205,2689.205,2490.004
2020.11.30 09:41:01 792,37,40,38,40,40,10,8.006,2490.004,2490.004,2589.604,2689.204
2020.11.30 09:41:02 804,36,34,37,34,37,9.971,8.049,2490.004,2589.604,2589.604,896.401
2020.11.30 09:41:03 818,34,42,36,40,42,5.168,3.286,2490.004,2589.604,2490.004,2689.205
2020.11.30 09:41:04 828,36,35,36,40,40,7.439,5.345,2490.004,2589.604,2490.004,2589.604
2020.11.30 09:41:05 840,32,33,34,39,39,4.036,2.227,2490.004,2490.004,2689.205,2689.205
2020.11.30 09:41:06 848,31,32,33,32,33,4.692,2.889,2788.805,2689.204,2689.204,2589.604
2020.11.30 09:41:07 857,32,37,34,32,37,4.32,2.519,2689.204,2689.204,2689.204,2689.204
2020.11.30 09:41:08 870,32,32,32,30,32,3.871,2.071,2689.204,2589.604,2589.604,2490.004
2020.11.30 09:41:09 878,31,33,33,32,33,5.492,3.624,2689.204,2390.404,2390.404,2390.404
2020.11.30 09:41:10 885,35,34,35,32,35,5.79,3.861,2689.205,2689.205,2589.604,2490.004
2020.11.30 09:41:11 894,32,33,34,34,34,4.756,2.893,2689.204,2689.204,2689.204,2689.204
2020.11.30 09:41:12 901,29,31,32,30,32,3.792,2.022,796.801,796.801,796.801,796.801
2020.11.30 09:41:13 914,30,31,32,30,32,4.284,2.501,796.801,796.801,796.801,796.801
2020.11.30 09:41:14 923,31,32,33,31,33,6.416,4.365,796.801,796.801,796.801,796.801
2020.11.30 09:41:15 931,30,31,32,30,32,4.472,2.656,796.801,796.801,796.801,796.801
2020.11.30 09:41:16 939,34,36,35,34,36,5.472,3.51,2490.004,2490.004,2490.004,2490.004
2020.11.30 09:41:17 948,31,33,33,31,33,4.774,2.857,2589.604,2589.604,2589.604,2490.004
2020.11.30 09:41:18 956,30,31,32,30,32,4.565,2.596,796.801,2490.004,2589.604,2589.604
2020.11.30 09:41:19 966,29,31,32,30,32,4.625,2.762,796.801,796.801,796.801,796.801
2020.11.30 09:41:20 976,30,31,32,30,32,4.886,3.064,796.801,796.801,796.801,796.801
2020.11.30 09:41:21 985,30,31,32,30,32,4.583,2.738,796.801,796.801,796.801,796.801
2020.11.30 09:41:22 994,30,31,31,29,32,4.094,2.227,796.801,796.801,796.801,796.801
2020.11.30 09:41:24 002,31,32,32,30,32,5.409,3.534,2689.205,2689.205,2689.205,2689.205
2020.11.30 09:41:25 010,31,32,33,30,33,5.27,3.436,2589.604,2390.404,2390.404,2490.004
2020.11.30 09:41:26 019,35,34,36,37,37,5.813,3.951,2589.604,2589.604,2589.604,2589.604
2020.11.30 09:41:27 027,30,31,31,29,32,4.8,2.998,2589.604,2589.604,2589.604,2490.004
2020.11.30 09:41:28 036,29,31,32,30,32,5.427,3.584,2788.805,2689.204,2788.805,2689.204
2020.11.30 09:41:29 044,30,32,32,29,32,4.746,2.942,1693.202,2490.004,2490.004,2490.004
2020.11.30 09:41:30 061,32,33,34,33,34,7.324,5.442,896.401,2490.004,2589.604,2589.604
2020.11.30 09:41:31 070,30,32,32,30,32,4.619,2.796,796.801,796.801,796.801,2589.604
2020.11.30 09:41:32 079,29,31,31,30,32,4.874,3.052,796.801,796.801,796.801,796.801
