DATE,FILE
STRING,STRING
2020-05-28,.\DB\REPORT\2020\05\2020-05-28.csv
2020.05.28,.\DB\REPORT\2020\05\2020-05-28.csv
2020.05.29,.\DB\REPORT\2020\05\2020-05-29.csv
0001.01.01,.\DB\REPORT\0001\01\0001-01-01.csv
2020.11.27,.\DB\REPORT\2020\11\2020-11-27.csv
2020.11.30,.\DB\REPORT\2020\11\2020-11-30.csv
2020.12.01,.\DB\REPORT\2020\12\2020-12-01.csv
2021.04.30,.\DB\REPORT\2021\04\2021-04-30.csv
