DATETIME,CPUCoreTemp_1,CPUCoreTemp_2,CPUCoreTemp_3,CPUCoreTemp_4,CPUCoreTemp_Package,CPUPackagePower,CPUCorePower,CPUCoreClock_1,CPUCoreClock_2,CPUCoreClock_3,CPUCoreClock_4
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
2020.11.30 09:37:23 058,28,28,29,29,31,6.528,4.501,1494.002,1494.002,1195.202,1195.202
2020.11.30 09:37:24 065,27,28,29,28,30,3.414,1.6,1195.202,1195.202,1593.602,1593.602
2020.11.30 09:37:25 075,29,30,29,28,30,3.899,2.08,2589.605,2490.005,2490.005,2490.005
2020.11.30 09:37:26 085,27,28,29,27,30,2.834,1.037,796.801,796.801,796.801,796.801
2020.11.30 09:37:27 094,28,28,29,28,30,3.329,1.525,1195.202,1593.603,1593.603,1593.603
2020.11.30 09:37:28 103,27,28,28,28,30,2.948,1.152,1992.003,1992.003,1992.003,1992.003
2020.11.30 09:37:29 111,27,28,29,28,30,3.147,1.334,2788.806,2788.806,2788.806,2689.206
2020.11.30 09:37:30 118,27,28,29,27,30,3.178,1.384,796.801,796.801,796.801,796.801
2020.11.30 09:37:31 126,27,28,29,27,30,2.976,1.17,2091.605,2091.605,2091.605,1792.804
2020.11.30 09:37:32 134,27,28,29,27,30,3.077,1.276,1294.802,996.001,996.001,996.001
2020.11.30 09:37:33 143,31,30,39,29,39,4.498,2.697,2689.205,2589.605,2689.205,2689.205
2020.11.30 09:37:34 152,28,28,29,28,30,5.242,3.364,1494.002,1494.002,1195.201,1195.201
2020.11.30 09:37:35 162,31,31,42,30,42,8.993,7.178,2589.605,2689.206,2788.806,2689.206
2020.11.30 09:37:36 171,27,28,29,27,30,4.337,2.484,796.801,796.801,796.801,796.801
2020.11.30 09:37:37 178,29,30,30,29,31,3.439,1.632,2589.605,2589.605,2589.605,2589.605
2020.11.30 09:42:32 867,31,33,33,31,33,7,4.766,2490.004,2490.004,2490.004,2589.604
2020.11.30 09:42:33 876,31,32,32,31,33,4.44,2.564,796.801,796.801,796.801,796.801
2020.11.30 09:42:34 888,30,32,32,30,33,3.57,1.736,796.801,796.801,796.801,796.801
2020.11.30 09:42:35 898,33,33,33,30,33,3.034,1.228,2490.005,2589.605,2589.605,2589.605
2020.11.30 09:42:36 906,30,31,32,30,32,3.361,1.556,2191.204,1892.403,2689.205,2689.205
2020.11.30 09:42:37 915,33,34,36,40,40,5.419,3.55,2689.205,2689.205,2490.004,2589.604
2020.11.30 09:42:38 924,32,34,34,32,34,7.683,5.807,2689.204,2689.204,2689.204,2689.204
2020.11.30 09:42:39 932,35,46,37,34,46,9.255,7.321,2490.004,2490.004,2589.604,2490.004
2020.11.30 09:42:40 941,39,37,39,36,39,8.437,6.565,2490.001,2490.001,2490.001,2490.001
2020.11.30 09:42:41 984,32,34,35,39,39,6.785,4.853,2490.007,2589.607,2490.007,2589.607
2020.11.30 09:42:42 993,31,33,33,32,33,6.02,4.144,896.401,896.401,896.401,896.401
2020.11.30 09:42:44 002,32,33,33,32,33,4.975,3.167,796.8,796.8,796.8,796.8
2020.11.30 09:42:45 011,34,34,35,31,35,5.948,4.11,2589.61,2589.61,2689.21,2589.61
2020.11.30 09:42:46 019,34,34,34,31,34,5.792,3.958,2788.804,2689.204,2689.204,2689.204
2020.11.30 09:42:47 029,36,35,35,31,35,5.929,4.079,2589.604,2589.604,2589.604,2589.604
2020.11.30 09:42:48 038,32,33,34,32,34,5.437,3.637,2689.205,2689.205,2689.205,2689.205
2020.11.30 09:42:49 047,38,36,39,33,39,7.853,6.035,2689.204,2689.204,2589.604,2689.204
2020.11.30 09:42:50 055,38,36,36,38,38,7.141,5.283,2589.604,2490.004,2589.604,2589.604
2020.11.30 09:42:51 068,36,36,38,43,43,10.562,8.331,2589.604,2589.604,2689.204,2490.004
2020.11.30 09:42:52 077,35,35,36,36,36,9.173,6.859,2589.604,2589.604,2589.604,2490.004
2020.11.30 09:42:53 085,35,36,37,44,44,9.262,7.166,2689.205,2689.205,2490.004,2589.604
2020.11.30 09:42:54 093,35,41,38,35,38,7.631,5.732,2589.604,2689.205,2589.604,2689.205
2020.11.30 09:42:55 196,35,45,38,35,38,10.1,8.181,2689.204,2589.604,2490.004,2490.004
2020.11.30 09:42:56 252,35,36,37,43,43,9.376,7.431,2689.203,2490.003,2589.603,2490.003
2020.11.30 09:42:57 302,40,44,38,38,44,9.711,7.805,2589.6,2490,2490,2490
2020.11.30 09:42:58 321,36,40,37,42,42,9.945,8.091,2689.21,2589.609,2689.21,2689.21
2020.11.30 09:42:59 329,34,36,35,33,36,9.74,7.829,2689.204,2689.204,2390.404,2390.404
