DATETIME,CPUCoreTemp_1,CPUCoreTemp_2,CPUCoreTemp_3,CPUCoreTemp_4,CPUCoreTemp_Package,CPUPackagePower,CPUCorePower,CPUCoreClock_1,CPUCoreClock_2,CPUCoreClock_3,CPUCoreClock_4
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
2021.04.30 16:29:21 305,82,79,79,80,82,11.561,6.48,898.562,898.562,1497.603,898.562
2021.04.30 16:29:22 377,82,82,80,81,84,11.63,7.205,1497.603,1697.284,1697.284,1098.243
2021.04.30 16:29:23 460,81,81,79,83,83,11.227,6.6,2396.167,1397.764,2396.167,2396.167
2021.04.30 16:29:24 530,84,80,80,79,84,12.15,7.95,1597.443,1597.443,1597.443,2595.844
2021.04.30 16:29:25 600,86,81,83,84,86,12.713,8.444,2196.486,2196.486,1497.604,1297.924
2021.04.30 16:29:26 675,86,81,82,83,85,12.309,7.713,1996.802,1996.802,1597.442,1198.081
2021.04.30 16:29:27 750,84,81,82,80,84,11.87,7.522,1497.605,1297.924,1297.924,2096.647
