DATETIME,Vcore,Vcore_min,Vcore_max,ThreeV,ThreeV_min,ThreeV_max,FiveV,FiveV_min,FiveV_max,TwelveV,TwelveV_min,TwelveV_max,FiveVStandby,FiveVStandby_min,FiveVStandby_max,Temperature_CPU,Temperature_CPU_min,Temperature_CPU_max,Temperature_System,Temperature_System_min,Temperature_System_max,Fan_CPU,Fan_CPU_min,Fan_CPU_max,Fan_System,Fan_System_min,Fan_System_max
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
2020.05.29 17:51:10 797,1.752,0,0,3.296,0,0,5.024,0,0,12.144,0,0,5.088,0,0,48.5,0,0,37,0,0,2878,0,0,0,0,0
2020.05.29 17:51:11 797,1.744,0,0,3.296,0,0,5.024,0,0,12.144,0,0,5.088,0,0,47.7,0,0,37,0,0,2884,0,0,0,0,0
2020.05.29 17:51:12 797,1.752,0,0,3.296,0,0,5.024,0,0,12.144,0,0,5.088,0,0,47.7,0,0,37,0,0,2890,0,0,0,0,0
2020.05.29 17:51:13 797,1.752,0,0,3.296,0,0,5.024,0,0,12.144,0,0,5.088,0,0,48,0,0,37,0,0,2878,0,0,0,0,0
2020.05.29 17:51:14 798,1.752,0,0,3.296,0,0,5.024,0,0,12.144,0,0,5.088,0,0,47.2,0,0,37,0,0,2872,0,0,0,0,0
2020.05.29 17:51:15 798,1.744,0,0,3.296,0,0,5.024,0,0,12.144,0,0,5.088,0,0,47.2,0,0,37,0,0,2872,0,0,0,0,0
2020.05.29 17:51:16 798,1.752,0,0,3.296,0,0,5.024,0,0,12.144,0,0,5.088,0,0,48.5,0,0,37,0,0,2872,0,0,0,0,0
2020.05.29 17:51:17 799,1.752,0,0,3.296,0,0,5.024,0,0,12.144,0,0,5.088,0,0,47.2,0,0,37,0,0,2878,0,0,0,0,0
2020.05.29 17:51:18 799,1.744,0,0,3.296,0,0,5.024,0,0,12.144,0,0,5.088,0,0,47.2,0,0,37,0,0,2872,0,0,0,0,0
2020.05.29 17:51:19 799,1.752,0,0,3.296,0,0,5.024,0,0,12.144,0,0,5.088,0,0,47,0,0,37,0,0,2872,0,0,0,0,0
2020.05.29 17:51:20 825,1.752,0,0,3.296,0,0,5.024,0,0,12.144,0,0,5.088,0,0,47.5,0,0,37,0,0,2878,0,0,0,0,0
